Date,Open,High,Low,Close
02/11/2012,1656.13,1656.13,1656.13,1656.13
05/11/2012,1654.04,1654.04,1654.04,1654.04
06/11/2012,1645.63,1645.63,1645.63,1645.63
07/11/2012,1645.53,1645.53,1645.53,1645.53
08/11/2012,1641.07,1641.07,1641.07,1641.07
09/11/2012,1641.08,1641.08,1641.08,1641.08
12/11/2012,1637.59,1637.59,1637.59,1637.59
13/11/2012,1637.59,1637.59,1637.59,1637.59
14/11/2012,1631.68,1631.68,1631.68,1631.68
15/11/2012,1631.68,1631.68,1631.68,1631.68
16/11/2012,1629.28,1629.28,1629.28,1629.28
19/11/2012,1623.31,1623.31,1623.31,1623.31
20/11/2012,1624.2,1624.2,1624.2,1624.2
21/11/2012,1622.97,1622.97,1622.97,1622.97
22/11/2012,1618.55,1618.55,1618.55,1618.55
23/11/2012,1614.32,1614.32,1614.32,1614.32
26/11/2012,1607.88,1607.88,1607.88,1607.88
27/11/2012,1598.17,1598.17,1598.17,1598.17
28/11/2012,1606.52,1606.52,1606.52,1606.52
29/11/2012,1607.32,1607.32,1607.32,1607.32
30/11/2012,1610.83,1610.83,1610.83,1610.83
03/12/2012,1607.35,1607.35,1607.35,1607.35
04/12/2012,1607.61,1607.61,1607.61,1607.61
05/12/2012,1613.79,1613.79,1613.79,1613.79
06/12/2012,1616.23,1616.23,1616.23,1616.23
07/12/2012,1617.77,1617.77,1617.77,1617.77
10/12/2012,1632.15,1632.15,1632.15,1632.15
11/12/2012,1641.57,1641.57,1641.57,1641.57
12/12/2012,1649.75,1649.75,1649.75,1649.75
13/12/2012,1652.75,1652.75,1652.75,1652.75
14/12/2012,1651.98,1651.98,1651.98,1651.98
17/12/2012,1648.58,1648.58,1648.58,1648.58
18/12/2012,1659.44,1659.44,1659.44,1659.44
19/12/2012,1665.64,1665.64,1665.64,1665.64
20/12/2012,1670.6,1670.6,1670.6,1670.6
21/12/2012,1658.85,1658.85,1658.85,1658.85
